Latitude,Longitude,名稱,類別,天數,日期,時段,定位用名稱,官方日文名,導航連結
35.7147557,139.7734312,⛩️ 上野公園大噴水廣場,⛩️ 景點,Day 2（長輩組）,8/21 星期五,15:05－15:25 🌳 美術館戶外庭園,上野恩賜公園 大噴水,上野恩賜公園 大噴水,"https://www.google.com/maps/search/?api=1&query=35.7147557,139.7734312&query_place_id=ChIJw2qQRZuOGGARWmROEiM2y7E"
35.7075185,139.7748564,🚉 JR 御徒町站,🚉 交通,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,御徒町駅,御徒町駅,"https://www.google.com/maps/search/?api=1&query=35.7075185,139.7748564&query_place_id=ChIJc-deL6COGGARRENyB-YX2eI"
35.7074720,139.7733950,🍜 松坂屋,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,松坂屋 上野店,松坂屋 上野店,"https://www.google.com/maps/search/?api=1&query=35.707472,139.773395&query_place_id=ChIJo3tx-Z-OGGARmtgBAh8wp8o"
35.7070100,139.7734500,🍜 PARCO_ya,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,PARCO_ya 上野,PARCO_ya 上野,"https://www.google.com/maps/search/?api=1&query=35.7070100,139.7734500&query_place_id=ChIJh7iJ_R-MGGARk32pRTmYtIM"
35.7061495,139.7718239,🍜 兔屋,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,うさぎや,うさぎや,"https://www.google.com/maps/search/?api=1&query=35.7061495,139.7718239&query_place_id=ChIJ2zdQ8x-MGGARevmtQEbnfWo"
35.7087031,139.7729243,🍜 客美多咖啡,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,コメダ珈琲店 上野広小路店,コメダ珈琲店 上野広小路店,"https://www.google.com/maps/search/?api=1&query=35.7087031,139.7729243&query_place_id=ChIJe_0tCHGPGGARZjMuzjwV0Jc"
35.7070618,139.7740642,🍜 聖瑪克咖啡,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,サンマルクカフェ 御徒町南口店,サンマルクカフェ 御徒町南口店,"https://www.google.com/maps/search/?api=1&query=35.7070618,139.7740642&query_place_id=ChIJC9p7GKCOGGARZC2rsIDVwSU"
35.7086426,139.7734690,🍜 麥當勞,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,マクドナルド 上野御徒町店,マクドナルド 上野御徒町店,"https://www.google.com/maps/search/?api=1&query=35.7086426,139.773469&query_place_id=ChIJldKmBTqPGGARt1Zgy_YgGjI"
35.7121134,139.7751798,🍜 羅多倫咖啡,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,ドトールコーヒーショップ アトレ上野店,ドトールコーヒーショップ アトレ上野店,"https://www.google.com/maps/search/?api=1&query=35.7121134,139.7751798&query_place_id=ChIJFeymgJ6OGGAR8NtTUr5XcBE"
35.7109340,139.7743390,🍜 雷諾瓦咖啡,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,喫茶室ルノアール 上野しのばず口店,喫茶室ルノアール 上野しのばず口店,"https://www.google.com/maps/search/?api=1&query=35.710934,139.774339&query_place_id=ChIJ2fk9QZ6OGGARVlOQVnJr1Oo"
35.7122332,139.7753202,🍜 三橋餡蜜,🍜 餐廳,Day 2（長輩組）,8/21 星期五,15:25－16:45 ☕ 下午茶與逛街（兩案擇一）,あんみつ みはし アトレ上野店,あんみつ みはし アトレ上野店,"https://www.google.com/maps/search/?api=1&query=35.7122332,139.7753202&query_place_id=ChIJc6BJfJ6OGGARaNnQvcilarE"
35.7188351,139.7765215,⛩️ 東京國立博物館,⛩️ 景點,Day 2（長輩組）,8/21 星期五,09:25－09:40 🚶‍♂️ 公園口步行至東京國立博物館,東京国立博物館,東京国立博物館,"https://www.google.com/maps/search/?api=1&query=35.7188351,139.7765215&query_place_id=ChIJEX3XFIOOGGAR3XdJvRjWLyM"
35.7111357,139.7748663,🍜 名代 宇奈とと,🍜 餐廳,Day 2（長輩組）,8/21 星期五,17:00－18:00 🍽️ 晚餐：宇奈とと鰻魚飯,名代 宇奈とと 上野店,名代 宇奈とと 上野店,"https://www.google.com/maps/search/?api=1&query=35.7111357,139.7748663&query_place_id=ChIJ6RMcXZ6OGGARLLk8PdeakXs"
35.7100370,139.7738890,🍜 松屋,🍜 餐廳,Day 2（長輩組）,8/21 星期五,17:00－18:00 🍽️ 晚餐：宇奈とと鰻魚飯,松屋 上野店,松屋 上野店,"https://www.google.com/maps/search/?api=1&query=35.710037,139.773889&query_place_id=ChIJZ44cNJ6OGGAR5MROF68O1B0"
35.6974952,139.7859834,🚉 淺草橋站,🚉 交通,Day 2（長輩組）,8/21 星期五,18:10－18:40 🚆 返回淺草橋（長輩組）,浅草橋駅,浅草橋駅,"https://www.google.com/maps/search/?api=1&query=35.6974952,139.7859834&query_place_id=ChIJr-AfyrOOGGARWBazD9OfYeg"
